,name,categories,genres,steamspy_tags,time_engaged_index,time_engaged_category,player_acclaim_index,player_acclaim_category,adopters_choice_index,adopters_choice_category,game_nexus_index,game_nexus_category
700,Band of Outlaws,Single-player;Local Multi-Player;Steam Achievements;Full controller support,Action;Adventure;Indie,Action;Adventure;Indie,0.03785714285714285,Average,0.5964285714285714,AboveAverage,0.12285714285714286,Average,0.24985714285714286,Average
701,Zarya and the Cursed Skull,Single-player;Full controller support;Steam Cloud,Action;Adventure;Indie,Action;Adventure;Indie,0.031000000000000003,Mediocre,0.47300000000000003,Mediocre,0.11600000000000002,Mediocre,0.2046,Subpar
702,Odyssey VR - The Deep Space Expedition,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Workshop;Partial Controller Support;Steam Leaderboards,Action;Adventure;Indie;Simulation,Action;Adventure;Indie,0.030806451612903227,Subpar,0.4695161290322581,Subpar,0.11580645161290323,Subpar,0.2033225806451613,Subpar
703,Bacterium / 生命之旅,Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud,Action;Adventure;Indie;RPG;Simulation,Action;Adventure;Indie,0.04250000000000001,Good,0.68,Excellent,0.1275,AboveAverage,0.28049999999999997,Good
704,Acucalypse,Single-player;Steam Cloud,Action;Indie;Strategy;Early Access,Early Access;Action;Indie,0.029074074074074075,Subpar,0.4383333333333333,Subpar,0.11407407407407408,Subpar,0.1918888888888889,Subpar
705,Wave Magic VR,Single-player;Steam Trading Cards,Action;Indie;RPG;Early Access,Early Access;Action;Indie,0.03523255813953488,BelowAverage,0.549186046511628,Average,0.1202325581395349,BelowAverage,0.23253488372093023,BelowAverage
706,Xenocite Clad,Single-player;Steam Achievements,Action;Adventure;Indie;Early Access,Early Access;Action;Indie,0.03416666666666667,BelowAverage,0.53,BelowAverage,0.11916666666666668,BelowAverage,0.22550000000000003,BelowAverage
707,Mayhem ZX,Single-player;Multi-player;Shared/Split Screen;Full controller support;Steam Leaderboards,Violent;Gore;Action;Indie;Early Access,Early Access;Action;Indie,0.035769230769230775,BelowAverage,0.5588461538461539,Average,0.12076923076923078,BelowAverage,0.2360769230769231,Average
708,Hentai no Hero,Single-player;Partial Controller Support,Action;Adventure;Indie;RPG;Early Access,Early Access;Action;Indie,0.030000000000000002,Subpar,0.455,Subpar,0.11500000000000002,Subpar,0.198,Subpar
709,BattleCore Arena,Online Multi-Player;Steam Achievements;Stats;Steam Leaderboards,Action;Indie;Early Access,Early Access;Action;Indie,0.04305970149253732,Good,0.6900746268656717,Excellent,0.12805970149253731,AboveAverage,0.28419402985074627,Good
710,Space Jammers,Single-player;Local Multi-Player;Local Co-op;Shared/Split Screen;Full controller support;Steam Trading Cards;Steam Leaderboards,Action;Adventure;Indie;Early Access,Early Access;Action;Indie,0.036428571428571435,Average,0.5707142857142857,AboveAverage,0.12142857142857144,Average,0.24042857142857144,Average
711,Wrack: Exoverse,Single-player;Full controller support;Steam Cloud;Steam Leaderboards,Action;Adventure;Indie;Early Access,Early Access;Action;Indie,0.03952380952380953,AboveAverage,0.6264285714285714,Good,0.12452380952380954,AboveAverage,0.2608571428571429,AboveAverage
712,Light Rider,Single-player,Action;Indie;Racing;Early Access,Early Access;Action;Indie,0.03208333333333334,Mediocre,0.4925,Mediocre,0.11708333333333334,Mediocre,0.21175,Mediocre
713,M1: A Death in the Desert,Single-player;Steam Achievements;Full controller support;Steam Cloud,Action;Adventure;Casual;Indie,Adventure;Indie;Casual,0.03357142857142857,BelowAverage,0.5192857142857142,BelowAverage,0.11857142857142858,BelowAverage,0.22157142857142856,BelowAverage
714,Lost Letters (of Seraphina),Single-player,Adventure;Casual;Indie,Adventure;Indie;Casual,0.031086956521739133,Mediocre,0.47456521739130436,Mediocre,0.11608695652173914,Mediocre,0.20517391304347826,Subpar
715,Eat All The Things,Single-player;Multi-player;Local Multi-Player;Local Co-op;Shared/Split Screen;Steam Achievements;Partial Controller Support,Adventure;Casual;Indie,Adventure;Indie;Casual,0.03555555555555556,BelowAverage,0.555,Average,0.12055555555555557,BelowAverage,0.2346666666666667,BelowAverage
716,Drizzlepath: Deja Vu,Single-player;Steam Achievements;Full controller support;Steam Cloud,Adventure;Casual;Indie,Adventure;Indie;Casual,0.15843280854071634,Excellent,0.7013944152892991,Excellent,0.1347277486226324,Good,0.32820314090937375,Excellent
717,Memories of Home,Single-player;Partial Controller Support,Sexual Content;Violent;Gore;Adventure;Casual;Indie,Adventure;Indie;Casual,0.02673913043478261,Unacceptable,0.396304347826087,Unacceptable,0.11173913043478262,Unacceptable,0.17647826086956522,Unacceptable
718,A Lost Room,Single-player,Adventure;Casual;Indie,Adventure;Indie;Casual,0.03227272727272727,Mediocre,0.4959090909090909,Mediocre,0.11727272727272728,Mediocre,0.213,Mediocre
719,Masha Rescues Grandma,Single-player;Steam Trading Cards,Adventure;Casual;Indie,Adventure;Indie;Casual,0.03409638554216868,BelowAverage,0.44373493975903616,Subpar,0.2040963855421687,Good,0.22503614457831325,BelowAverage
720,Weeping Skies,Single-player,Adventure;Casual;Indie,Adventure;Indie;Casual,0.0313888888888889,Mediocre,0.48000000000000004,Mediocre,0.1163888888888889,Mediocre,0.2071666666666667,Mediocre
721,JQ: dogs & cats,Single-player;Steam Achievements,Casual;Indie,Indie;Casual,0.04059322033898305,AboveAverage,0.6456779661016949,Good,0.12559322033898307,AboveAverage,0.2679152542372881,AboveAverage
722,GoBlock's Impossible Medley,Single-player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Partial Controller Support,Casual;Indie,Indie;Casual,0.037142857142857144,Average,0.5835714285714286,AboveAverage,0.12214285714285716,Average,0.24514285714285716,Average
723,Inca Blocks,Single-player;Steam Achievements;Steam Leaderboards,Casual;Indie,Indie;Casual,0.030000000000000002,Subpar,0.455,Subpar,0.11500000000000002,Subpar,0.198,Subpar
724,3D Mahjong worlds,Single-player,Casual;Indie,Indie;Casual,0.03258620689655173,Mediocre,0.501551724137931,BelowAverage,0.11758620689655173,Mediocre,0.2150689655172414,Mediocre
725,Dragon Hunter,Single-player;Steam Achievements,Casual;Indie,Indie;Casual,0.035487804878048784,BelowAverage,0.5537804878048781,Average,0.12048780487804879,BelowAverage,0.23421951219512196,BelowAverage
726,Gravity Ball,Single-player,Casual;Indie,Indie;Casual,0.24833987974103688,Outstanding,0.44351888220783536,Subpar,0.125887303260467,AboveAverage,0.26985620151908196,AboveAverage
727,Hinedere Beat,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud,Action;Adventure;Indie,Action;Indie;Adventure,0.03208333333333334,Mediocre,0.4925,Mediocre,0.11708333333333334,Mediocre,0.21175,Mediocre
